WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.8021389379655 39.8523597601197)",CO719722,Roachdale Town Marshall,205 N Indiana,Roachdale,46172-0198, , ,1442,CountyApproved,{950D576C-23EA-4930-BD26-09383C54C951},-86.8021389379655,39.8523597601197
"POINT (-84.9509158897837 40.6567292477231)",IN000161,Berne Police Dept,158 W Franklin St,Berne,46711-2144, , ,1442, ,{94958794-48AF-41AD-AAFF-5088066E601E},-84.9509158897837,40.6567292477231
"POINT (-85.679006321736 40.1071095702349)",IN000162,Madison County Sheriffs Dept,16 E 9th St # 305,Anderson,46016-1538, , ,1442, ,{497AFB7C-7C89-4769-85EE-ED293316B497},-85.679006321736,40.1071095702349
"POINT (-85.839926221244 40.2770291409462)",IN000167,Elwood Police Dept,1601 Main St,Elwood,46036-2024, , ,1442, ,{9D8DC072-C9C2-4A10-BC22-A73E0DE2E092},-85.839926221244,40.2770291409462
"POINT (-86.863910521225 39.6431095682764)",CO719720,Greencastle Police Dept,652 N Jackson,Greencastle,46135-1527, , ,1442,CountyApproved,{9045A06A-73BC-4BC3-8457-3A9A86C56E9C},-86.863910521225,39.6431095682764
"POINT (-86.8119397275833 39.7611101022047)",CO719723,Bainbridge Town Marshall,201 N Grant,Bainbridge,46105-0385, , ,1442,CountyApproved,{EF7DC9E4-00E0-43AC-8351-CDB1391084A5},-86.8119397275833,39.7611101022047
"POINT (-85.9957750373938 40.0525817671248)",IN000181,Hamilton County Sheriffs Dept,18100 Cumberland Rd,Noblesville,46060-1624, , ,1442, ,{84033421-807E-4C9F-B4A7-744CFD23E713},-85.9957750373938,40.0525817671248
"POINT (-86.5266496160894 39.7606702173174)",IN000153,Danville Police Dept,147 W Main St,Danville,46122-1705, , ,1442, ,{53CD2E9C-8FC3-494B-B4C9-662521E1C5A7},-86.5266496160894,39.7606702173174
"POINT (-85.1973453439778 40.7319594273649)",IN000158,Wells County Sheriff Dept,1525 Corning Rd,Bluffton,46714-9790, , ,1442, ,{A2EEDBBF-6E71-4FB0-A66E-F350CE620F66},-85.1973453439778,40.7319594273649
"POINT (-85.1248991418946 39.1205202532882)",CO746273,Milan Town Police Dept,412 E Carr St.,Milan,47031-8891, , ,1442,County Approved,{C7C68A4F-4B02-4914-87AA-136E8B1CB967},-85.1248991418946,39.1205202532882
"POINT (-85.223128840527 39.297079260575)",CO746274,Batesville Police Dept,132 S Main St,Batesville,47006-1345, , ,1442,County Approved,{AAD854F4-B489-4445-A271-C35C6D7CA693},-85.223128840527,39.297079260575
"POINT (-85.3878091987063 39.075120238261)",CO746279,Holton Police Dept,7044 Versailles St.,Holton, , , ,1442,County Approved,{BE41723B-DEDC-4A89-959D-C71607A01395},-85.3878091987063,39.075120238261
"POINT (-85.0943493188879 39.2362401988508)",CO746278,Sunman Police Dept,119 S Meridian St,Sunman,47041-0000, , ,1442,County Approved,{EE530F26-186E-4099-AC8D-5CD3E74F2ECE},-85.0943493188879,39.2362401988508
"POINT (-85.2508993685468 39.0707701976207)",CO746272,Versailles Police Dept,100 E Water St,Versailles,47042-0000, , ,1442,County Approved,{BDE72EAF-9B80-4212-B49B-65BAB39A4E6B},-85.2508993685468,39.0707701976207
"POINT (-85.367616474756 40.1803594606537)",IN000171,Muncie Police Dept-Cop Shop 6,1610 S Macedonia Ave,Muncie,47302-3647, , ,1442, ,{2C5948AD-8EA1-4125-931E-A2D00AA20CBF},-85.367616474756,40.1803594606537
"POINT (-86.6131498678611 38.5659801174643)",CO659991,West Baden Springs Police Dept,8272 W Ballard,West Baden Springs,47469, ,812-936-4614,1442,"ADDED BY TPC, 11/11/05",{478F7CC5-A088-4524-9B28-AEB6E944649C},-86.6131498678611,38.5659801174643
"POINT (-86.4780399660056 38.5562600520877)",CO659990,Paoli Police Dept,816 W Main St,Paoli,47454-1041, ,812-723-2836,1442, ,{19FBC772-16CC-40A2-BEF1-D9A9E104C567},-86.4780399660056,38.5562600520877
"POINT (-85.2465351740301 40.7568394459825)",IN000173,Wells County Sheriff Dept,1615 W Western Ave,Bluffton,46714-9792, , ,1442, ,{EBF688F8-FA91-47F9-AFBB-CF1A75123FAF},-85.2465351740301,40.7568394459825
"POINT (-85.3688765043259 40.2035394539738)",IN000175,Muncie Police Dept-Cop Shop,1621 E Highland Ave,Muncie,47303-3948, , ,1442, ,{FD202FCD-5DB4-4DDB-9F6C-656E09BC204A},-85.3688765043259,40.2035394539738
"POINT (-86.8606792888062 41.6873287539679)",IN000177,Indiana State Excise Police,1712 E Us Highway 20,Michigan City,46360-7502, , ,1442, ,{3E2251A6-BF89-47B5-8E4F-C1CDD771AD6B},-86.8606792888062,41.6873287539679
"POINT (-85.3996964156303 40.1769394504354)",IN000209,Muncie Police Dept-Cop Shop,2009 S Hoyt Ave,Muncie,47302-3009, , ,1442, ,{4513E471-4019-4A36-8C2F-391DA5EA7CDE},-85.3996964156303,40.1769394504354
"POINT (-85.9715392662341 41.6864999692075)",IN000178,Elkhart Police Dept,175 Waterfall Dr,Elkhart,46516-3699, , ,1442, ,{C6844CB8-D9EA-4695-9D46-80D8C753F15E},-85.9715392662341,41.6864999692075
"POINT (-85.2555793483793 39.0621402071205)",CO746277,Indiana State Police Dept,902 S Adams St,Versailles,47042-9796, , ,1442,County Approved,{BFB91179-FA01-4B4C-AF50-6A378B3D958C},-85.2555793483793,39.0621402071205
"POINT (-85.2492793696959 39.0723901969888)",CO746276,Ripley County Sheriff's Dept,210 N Monroe St,Versailles,47042-9529, , ,1442,County Approved,{98638815-B339-4AA9-9D0E-B48DFE37294D},-85.2492793696959,39.0723901969888
"POINT (-85.2921194067876 39.1289301576617)",CO746275,Osgood Police Dept,147 W Ripley St,Osgood,47037-1228, , ,1442,County Approved,{F8497410-865C-48E0-A411-10086EB54B45},-85.2921194067876,39.1289301576617
"POINT (-86.1514256538596 40.0413705618347)",IN000179,Westfield Police Dept,17535 Dartown Rd,Westfield,46074-8969, , ,1442, ,{284CCD54-BEEB-49CD-A354-39569C58FC4A},-86.1514256538596,40.0413705618347
"POINT (-86.1558465846537 40.476278776676)",IN000180,Eastern Howard County Sheriff,1800 W Markland Ave,Kokomo,46901-6126, , ,1442, ,{6E2A7C01-FF64-4F04-B920-A09BC00C5320},-86.1558465846537,40.476278776676
"POINT (-85.156066078955 41.0925695837679)",IN000186,Fort Wayne Police Training Ctr,1903 Saint Marys Ave,Fort Wayne,46808-2331, , ,1442, ,{61B50A1E-75F2-468A-BECB-F92F13D581AB},-85.156066078955,41.0925695837679
"POINT (-85.7685884984946 38.6843696412055)",CO746774,Scott County Sheriff,111 S 1st St,Scottsburg,47170-1802, , ,1442,County Approved,{FA8343AC-8A6B-423E-977E-A0E2A2DF3A9E},-85.7685884984946,38.6843696412055
"POINT (-85.7936985394989 38.689539660295)",CO746775,Scottsburg Police Dept,203 S Lake Road North Dr.,Scottsburg,47170-1637, , ,1442,County Approved,{B7BD10AD-609F-4C19-AEB1-67542F05EF17},-85.7936985394989,38.689539660295
"POINT (-85.8069386090149 38.7417797554189)",CO746776,Austin Police Dept,80 W Main St,Austin,47102-1659, , ,1442,County Approved,{04E3D9B8-FFC7-4391-A251-6EFBF25D1F4A},-85.8069386090149,38.7417797554189
"POINT (-85.0692476625192 38.7478299127398)",CO740186,Switzerland County Jail,402 Liberty Street,Vevay,47043, , ,1442,CountyApproved,{097CB2A6-B314-4F1A-BEAC-31AC14097D6B},-85.0692476625192,38.7478299127398
"POINT (-85.0692476625192 38.7478299127398)",CO740184,Switzerland County Sheriff Ofc,401 Liberty Street,Vevay,47043-1117, , ,1442,CountyApproved,{92EA9208-2C13-4C90-8039-C8AB9DE2C1DF},-85.0692476625192,38.7478299127398
"POINT (-85.6946262827703 40.2779891909821)",IN000194,Orestes Police Dept,2 S Superior,Orestes,46063-0000, , ,1442, ,{8D4ED716-0055-427F-95C9-6681EFD1F73D},-85.6946262827703,40.2779891909821
